,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
142,Abdoulaye Ba Moreirense,30, D(C),,11(1),984,1.4,1.3,0.5,0.3,3.3,0.6,0.5,-,6.7
143,Luquinhas Portimonense,21, AM(C),,11(9),1102,0.7,0.2,0.9,-,0.1,0.9,0.1,-,6.7
144,Jorge Silva Pacos de Ferreira,25, D(R),,2,180,5,0.5,1.5,-,2.5,1.5,-,-,6.7
145,Léo Jardim Boavista,26, GK,,34,3060,-,0.1,-,-,1.0,-,-,-,6.7
146,Pedro Marques Gil Vicente,23, FW,,11(4),927,0.3,0.1,0.7,-,0.2,0.3,-,-,6.7
147,João Mário Porto,21, D(R),,4(10),372,0.4,0.1,0.6,0.1,0.1,0.5,-,-,6.7
148,Fransérgio Braga,31, M(C),FW,25(5),2280,1.3,0.6,1.9,-,1.1,1.4,0.1,-,6.69
149,Pelé Rio Ave,30, M(C),,21(4),1860,1.4,0.6,1,0.1,0.6,0.6,-,-,6.69
150,Nanu Porto,27, D(R),M(LR),8(4),734,0.9,0.5,1.1,0.2,0.9,0.3,-,-,6.69
151,Marcus Edwards Vitoria de Guimaraes,22, AM(LR),,21(12),1773,0.3,0.4,0.3,-,0.1,0.4,-,-,6.69
152,Lincoln Santa Clara,23, AM(C),FW,25(5),2199,0.7,0.8,1.2,-,0.4,0.7,0.2,-,6.69
153,Mansur Santa Clara,28, D(L),,26,2307,1.4,1.3,1.3,0.3,2.3,0.7,0.2,-,6.68
154,Lucas Mineiro Gil Vicente,25, M(C),,27(6),2491,1.5,0.6,2.4,-,1.2,1.1,0.2,-,6.68
155,Chidozie Awaziem Boavista,24, D(CR),,27,2253,1,2,1.4,0.6,4.4,0.6,0.4,-,6.68
156,Antonio Adán Sporting,34, GK,,32,2880,0.1,-,0.1,-,0.8,0.1,-,-,6.68
157,Pedro Nuno Moreirense,26, AM(CL),FW,6,452,-,-,1.2,-,0.5,0.7,-,-,6.68
158,Marco Baixinho Pacos de Ferreira,32, D(C),DMC,19(4),1834,0.9,1.9,1.3,0.5,3.2,0.3,0.3,-,6.67
159,Mikel Agu Vitoria de Guimaraes,28, DMC,,8(6),778,1.8,1.8,1.2,0.1,2.0,1.4,0.4,-,6.67
160,Eduardo Mancha Farense,25, D(C),,21(1),1831,0.8,1.7,0.9,0.3,3.4,0.4,0.6,-,6.67
161,Agustín Marchesín Porto,33, GK,,33,2970,0.1,-,-,-,0.8,-,-,-,6.67
162,Jorge Fernandes Vitoria de Guimaraes,24, D(C),,30,2659,1.6,1.7,1.3,0.5,3.5,1,0.5,-,6.67
163,Toni Borevkovic Rio Ave,24, D(C),,31(1),2833,1.2,2,1,0.7,3.1,0.4,0.4,-,6.67
164,Srdjan Babic Famalicao,25, D(C),,27,2374,0.9,1.3,1.2,0.3,4,0.1,0.4,-,6.67
165,Denis Gil Vicente,34, GK,,32,2880,-,-,-,-,0.6,0.1,-,1,6.66
166,Carlos Valenzuela Famalicao,24, AM(L),,8(16),918,0.9,0.6,0.6,-,-,0.9,-,-,6.66
167,Marcelo Pacos de Ferreira,32, D(C),,26(2),2293,1.7,1.5,1.5,0.3,3.5,0.5,0.6,-,6.66
168,Gonçalo Ramos Benfica,20, Forward,,0(4),93,-,-,0.8,-,0.3,-,-,-,6.66
169,Mikel Villanueva Santa Clara,28, D(C),,29,2566,1.1,1.3,1.1,0.6,3.1,0.6,0.3,-,6.66
170,Tomás Ribeiro Belenenses SAD,22, D(C),,32,2808,1.4,1.7,1.2,0.5,2.7,0.7,0.4,-,6.65
171,Jhon Murillo Tondela,25, M(LR),FW,22(4),1949,0.8,0.5,0.8,-,0.2,0.5,0.2,-,6.65
172,Pedro Rebocho Pacos de Ferreira,26, D(L),,16(4),1407,1.1,1.6,0.5,0.2,1.3,0.6,0.2,-,6.65
173,Tiago Sá Braga,26, GK,,2,180,-,-,-,-,0.5,-,-,-,6.65
174,Reggie Cannon Boavista,23, D(R),M(R),30(1),2515,1.5,1.7,0.8,0.2,1.9,0.5,0.3,-,6.65
175,Kewin Moreirense,26, GK,,2,180,-,-,-,-,2,-,-,-,6.65
176,Pedro Henrique Farense,25, FW,,16(10),1489,0.5,0.2,1.4,-,0.3,0.3,-,-,6.64
