,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
152,Zakaria Labyad Ajax,28, AM(CLR),FW,12(10),961,0.3,0.2,0.7,-,-,0.2,-,-,6.73
153,Kerim Frei FC Emmen,27, AM(LR),,17,1461,1.2,0.5,0.6,-,0.2,1.3,0.1,-,6.73
154,Sebastian Holmén Willem II,29, D(CR),,29(1),2566,1.0,1.9,0.9,0.4,3.8,0.4,1.1,-,6.73
155,Lasse Schöne SC Heerenveen,35, M(CLR),,12,909,1.4,1,0.5,-,1,0.8,0.3,-,6.73
156,Kwasi Okyere Wriedt Willem II,27, FW,,20(4),1824,0.3,-,1.0,-,0.4,0.4,-,-,6.73
157,Tyronne Ebuehi Twente,25, D(LR),,33,2842,1.5,1.3,0.7,0.3,1.5,0.3,0.4,-,6.72
158,Caner Cavlan FC Emmen,29, D(L),DMC,32,2845,1.5,1.6,0.8,0.1,2.1,1.2,0.2,1,6.72
159,Marco Rente Heracles,24, D(C),,20(5),1762,1.7,2.4,0.4,0.4,3.2,0.8,0.5,1,6.72
160,Danny Post VVV-Venlo,32, DMC,,30,2564,3.3,2.3,1.9,-,1.8,2.1,0.5,-,6.72
161,Yanick van Osch Fortuna Sittard,24, GK,,26,2333,0.1,0.1,-,-,1.2,-,-,-,6.72
162,Siem de Jong SC Heerenveen,32, AM(CL),FW,17(2),1368,1.4,0.2,0.7,-,0.9,0.7,0.1,-,6.72
163,John Goossens ADO Den Haag,33, M(CLR),,18(6),1610,1,1.7,0.7,-,1.6,0.8,0.2,-,6.72
164,Gianni Zuiverloon ADO Den Haag,34, D(CR),,7(1),643,1.5,1.5,1.1,0.1,4.4,0.9,0.6,-,6.71
165,Ibrahim Dresevic SC Heerenveen,24, D(C),DMC,20(10),1905,0.9,1.9,0.6,0.5,2.7,0.6,0.6,-,6.71
166,Mauro Júnior PSV Eindhoven,22, M(CLR),,12(7),1014,1.1,0.9,0.8,-,0.2,0.7,0.1,-,6.71
167,Sergio Padt FC Groningen,31, GK,,34,3060,-,-,0.1,-,1.1,-,-,-,6.71
168,Leonel Miguel FC Groningen,20, Defender,,1,83,3,1,2,-,5.0,-,1,-,6.71
169,Roel Janssen Fortuna Sittard,31, D(CL),,30,2622,1.7,1.8,1,0.6,4.6,0.7,0.7,-,6.71
170,Nicolai Jørgensen Feyenoord,30, FW,,12(11),1189,0.4,-,0.5,-,0.6,0.3,-,-,6.7
171,Lucas Woudenberg SC Heerenveen,27, D(L),,23(6),2188,2.4,1.4,1.7,0.2,2.5,0.7,0.3,1,6.7
172,Tom Beugelsdijk Sparta Rotterdam,31, D(C),,22(7),2014,0.8,1.5,0.8,0.5,4.0,0.5,0.3,-,6.69
173,Mike te Wierik FC Groningen,29, D(CR),,14(1),1251,1.8,1.9,2.1,0.5,2.5,0.7,0.3,-,6.69
174,Bram van Polen PEC Zwolle,36, D(CLR),,22(3),1969,1.3,1.8,0.9,0.3,2.6,0.7,0.4,-,6.69
175,Paul Quasten RKC Waalwijk,36, D(L),,20(2),1547,1.9,1.8,0.9,0.1,1.4,0.8,0.1,-,6.69
176,Giacomo Quagliata Heracles,21, D(L),,24(1),2062,1.7,2,1.1,0.2,1.7,0.8,0.1,-,6.68
177,Luca de la Torre Heracles,23, M(CL),,26(6),2381,2.0,0.8,0.5,-,0.6,0.8,0.1,-,6.68
178,Pantelis Hatzidiakos AZ Alkmaar,24, D(C),,22(1),1911,1.0,2,0.9,0.6,3.2,0.5,0.4,-,6.67
179,Bryan Smeets Sparta Rotterdam,28, M(C),,21(5),1567,0.5,0.3,0.5,-,0.1,0.7,-,-,6.67
180,Jayden Oosterwolde Twente,20, D(CL),,24(2),1950,1.9,1.6,1.3,0.3,1.6,0.7,0.2,-,6.66
181,Michiel Kramer ADO Den Haag,32, FW,,21(8),1973,0.5,0.3,1.1,-,0.9,0.1,0.1,-,6.66
182,Ante Coric VVV-Venlo,24, Midfielder,,0(1),27,-,-,-,-,1.0,1,-,-,6.65
183,Ramiz Zerrouki Twente,23, DMC,,23(8),1956,2,1.7,1.5,0.1,1.2,1.1,0.1,-,6.65
184,Xavier Mous PEC Zwolle,26, GK,,15,1350,-,-,-,-,1.0,-,-,1,6.65
185,Mohamed El Hankouri FC Groningen,24, M(CLR),,22(11),2138,0.9,0.8,0.6,-,0.5,0.4,0.1,-,6.65
186,Rodney Kongolo SC Heerenveen,23, DMC,,23(8),2154,1.7,1.4,1.2,-,1.2,1.3,0.2,-,6.64
187,Lazaros Rota Fortuna Sittard,24, D(R),,20(4),1747,2.3,1.3,1,0.1,1.3,1,0.4,-,6.64
188,Nick Viergever PSV Eindhoven,32, D(CL),DMC,13(4),1095,0.6,1.6,0.8,0.2,2.2,0.5,0.1,-,6.64
189,Timo Baumgartl PSV Eindhoven,25, D(C),,6(2),552,0.6,1,1,0.1,1.6,0.1,0.3,-,6.63
190,Oussama Darfalou Vitesse,28, FW,,15(17),1464,0.6,-,0.8,-,0.2,0.6,-,-,6.63
191,Bruno Martins Indi AZ Alkmaar,29, D(CL),,27,2282,0.6,1.2,0.9,0.9,2.9,0.2,0.6,-,6.63
192,Leroy Fer Feyenoord,31, M(CL),,22(3),1884,1.4,0.7,1.4,-,1.5,0.9,0.1,1,6.63
193,Simon Gustafson FC Utrecht,26, AM(C),,17(3),1469,1.5,0.9,1,-,0.9,0.8,0.1,1,6.63
194,Erwin Mulder SC Heerenveen,32, GK,,34,3060,-,-,-,-,0.6,0.1,-,-,6.63
195,Tomás Suslov FC Groningen,19, AM(CR),,17(11),1492,1.2,0.5,0.9,-,0.4,0.9,-,-,6.63
196,Mark van der Maarel FC Utrecht,32, D(CLR),,19(6),1711,2,1.1,1.2,0.2,1.3,1.4,0.2,-,6.62
197,Marko Vejinovic ADO Den Haag,31, DMC,,14(3),1309,2.2,1.2,2.1,-,1.2,1.5,0.5,-,6.62
198,Anas Tahiri RKC Waalwijk,26, M(C),,33,2712,1.1,1.1,0.6,-,0.4,0.8,0.1,-,6.62
199,Luciano Narsingh Feyenoord,31, AM(LR),FW,3(6),393,0.6,-,0.3,-,-,0.1,-,-,6.62
200,Ramon Pascal Lundqvist FC Groningen,24, M(CL),,15(10),1392,0.9,0.4,0.5,-,0.9,0.4,0.1,-,6.62
201,Yvon Mvogo PSV Eindhoven,27, GK,,33,2970,-,-,-,-,0.5,-,-,1,6.62
202,Thijs Oosting RKC Waalwijk,21, FW,,15(2),1178,1.2,0.4,0.5,-,0.9,0.8,0.2,-,6.62
203,Remko Pasveer Vitesse,38, GK,,33,2970,0.1,-,-,-,0.3,0.2,-,-,6.62
204,Timo Letschert AZ Alkmaar,28, D(CLR),,16(4),1370,0.8,1.1,0.6,0.4,2.4,0.4,0.3,-,6.62
205,Godfried Roemeratoe Twente,22, DMC,,25(5),2218,2.3,1.2,1.2,-,0.6,0.7,0.2,-,6.61
206,Luuk Koopmans ADO Den Haag,27, GK,,19,1710,0.1,-,-,-,1.0,0.1,-,-,6.61
207,Wessel Dammers FC Groningen,26, D(C),,16(11),1583,1,1.6,0.5,0.4,2.1,0.4,0.3,-,6.61
208,Mica Pinto Sparta Rotterdam,28, D(L),,23(2),1920,1.6,1.2,0.8,0.2,1.7,0.9,0.2,-,6.61
209,Ismail Azzaoui Heracles,23, AM(CLR),,11(7),1075,1.8,0.6,0.7,-,0.6,1.3,0.1,-,6.6
210,Aaron Meijers Sparta Rotterdam,34, D(L),DMC,12(12),1124,1.7,0.5,0.5,0.1,1.3,0.6,0.3,-,6.6
211,Rami Kaib SC Heerenveen,24, D(L),,12(3),962,1.1,1.3,0.9,0.2,1.9,0.8,0.1,-,6.6
212,Sherel Floranus SC Heerenveen,23, D(LR),,26(3),2337,1.7,1.5,0.7,0.2,2.7,1.2,0.3,-,6.59
