,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
536,Wanderson Bahia,30, D(C),,5(2),487,-,-,32.6,85.5,0.1,1.9,-,6.33
537,Felipe Ferreira Vasco da Gama,27, Midfielder,,3(6),371,-,0.8,13.6,83.6,0.3,0.4,0.2,6.33
538,Lucho González Athletico Paranaense,40, M(C),,10(7),823,-,0.5,21.0,78.7,0.1,1.1,-,6.33
539,Ruan Gremio,22, D(C),,1,90,-,-,30.0,83.3,-,1.0,-,6.33
540,Willian Farias Sao Paulo,32, DMC,,0(1),16,-,-,5.0,60.0,-,-,-,6.33
541,Ramiro Corinthians,28, D(R),M(CR),13(5),984,1,0.8,28.8,82.3,0.4,0.8,-,6.33
542,Everton Felipe Athletico Paranaense,24, AM(CLR),,2(3),175,-,0.6,14.6,71.2,0.6,0.8,-,6.33
543,Alan Ruschel Chapecoense AF,32, D(L),M(LR),4(2),346,-,1.2,14.3,76.7,0.8,0.5,-,6.32
544,Renatinho Goias,29, AM(C),,2(7),297,-,0.2,11.2,73.3,0.1,0.6,0.1,6.32
545,Lucas Barros Botafogo RJ,22, D(L),,5(7),553,-,0.2,18.4,79.2,-,0.3,-,6.32
546,Juninho Quixadá Ceara,35, AM(C),,0(6),121,-,1.3,8.5,74.5,0.2,0.5,-,6.32
547,Patrick Fabiano CS Alagoano,34, Forward,,4(1),351,1,0.6,16.0,68.8,0.2,0.4,0.2,6.32
548,Maranhão CS Alagoano,31, D(L),M(LR),7(4),684,-,1.1,13.9,74.5,0.6,0.5,0.1,6.31
549,Ramires Bahia,21, M(CR),,9(5),761,-,0.8,19.0,86.8,0.4,0.5,-,6.31
550,Auremir Ceara,30, D(R),DMC,6(1),394,-,0.4,28.6,85.0,-,1.3,0.1,6.31
551,Luiz Felipe Santos FC,28, D(C),,3(5),331,-,-,26.6,88.7,-,0.9,-,6.31
552,Vinícius Araújo Avai FC,28, AM(L),FW,10(5),999,-,0.8,14.2,72.3,0.1,0.8,-,6.31
553,Gabriel Sara Sao Paulo,22, AM(CR),,1(5),170,1,0.8,15.8,77.9,-,0.5,-,6.31
554,Paulo Roberto Fortaleza,34, DMC,,3(1),254,-,-,29.8,83.2,-,2.3,-,6.31
555,Moisés Palmeiras,33, M(C),FW,2(7),314,-,0.4,13.9,76.8,-,1.0,0.1,6.3
556,Regis Chapecoense AF,23, Forward,,9(6),628,-,0.9,15.8,77.2,0.2,0.4,-,6.3
557,Jean Botafogo RJ,27, DMC,,1(7),176,-,-,8.0,85.9,-,0.8,-,6.3
558,Bruno Sávio Avai FC,27, Midfielder,,3(2),213,-,0.6,14.4,61.1,0.6,0.4,-,6.3
559,Jádson Corinthians,38, AM(CLR),,5(13),661,1,0.7,23.1,86.3,0.7,1.3,-,6.3
560,Lourency Chapecoense AF,25, AM(LR),,0(1),36,-,-,5.0,80.0,-,-,-,6.3
561,Lucão Goias,25, D(C),,1,90,-,-,35.0,74.3,-,-,-,6.3
562,Orlando Berrío Flamengo,30, AM(R),,4(12),452,2,0.5,7.0,68.8,0.3,0.3,-,6.3
563,Rafael Elias Atletico MG,22, FW,,1(4),125,-,-,6.6,72.7,-,-,-,6.3
564,Dodô Fortaleza,27, AM(CL),,1(4),154,-,0.8,19.6,76.5,0.2,1.6,-,6.29
565,Aylon Chapecoense AF,29, AM(R),FW,2(7),248,1,0.6,11.0,70.7,0.1,0.3,-,6.29
566,Lucas Dias CS Alagoano,26, Defender,,1(1),99,-,-,26.5,84.9,-,0.5,-,6.29
567,Miguel Fluminense,18, Midfielder,,0(3),53,-,1,7.3,68.2,1,-,-,6.29
568,Kanu Botafogo RJ,24, D(C),,0(3),134,-,0.3,25.7,84.4,-,1.3,-,6.29
569,Júnior Santos Fortaleza,27, FW,,5(1),342,-,0.5,9.0,72.2,-,0.3,-,6.28
570,Felipe Vizeu Gremio,24, FW,,4(7),387,-,0.6,10.4,76.3,-,0.3,-,6.28
571,Marcos Goias,28, GK,,0(1),32,-,-,10.0,50.0,-,4,-,6.28
572,Richard Corinthians,27, DMC,,1(2),88,-,-,13.0,89.7,-,0.3,-,6.28
573,Bruno Alves CS Alagoano,29, Midfielder,,3(9),434,-,1,8.4,65.3,1.2,0.5,-,6.28
574,Kaio Nunes Goias,25, Midfielder,,1(12),255,1,0.4,5.9,67.5,0.2,0.1,-,6.28
575,Jarro Pedroso CS Alagoano,28, Forward,,0(5),116,-,-,2.8,64.3,-,-,-,6.27
576,Agenor Fluminense,31, GK,,6,516,-,-,23.5,77.3,-,1.7,-,6.27
577,Douglas Avai FC,39, AM(C),,4(8),502,1,1.2,27.6,78.9,0.6,1.7,0.2,6.27
578,Getúlio Avai FC,24, Forward,,6(2),489,-,0.8,7.1,77.2,-,0.3,-,6.26
579,Pablo Dyego Fluminense,27, Forward,,0(9),118,-,-,4.9,72.7,-,0.2,-,6.26
580,Valdivia Vasco da Gama,27, AM(CLR),FW,3(9),430,1,0.8,12.6,78.8,0.6,0.5,-,6.25
581,Eduardo Kunde Avai FC,24, D(C),,12,1018,-,-,38.0,80.3,-,3.6,-,6.25
582,Daniel Amorim Avai FC,32, Forward,,2(7),337,-,0.2,7.9,74.6,-,0.1,-,6.25
583,Ernandes Chapecoense AF,36, D(L),M(C),1(1),111,-,0.5,19.5,79.5,1,2,-,6.25
584,Lucas Halter Athletico Paranaense,21, D(C),,7(2),671,-,0.1,52.2,90.2,-,3.3,-,6.25
585,Pablo Armero CS Alagoano,35, D(L),M(L),2(1),203,-,0.3,14.7,61.4,-,1,-,6.24
586,Weverton Cruzeiro,22, D(R),,3(2),336,-,0.2,26.6,85.7,0.2,0.4,-,6.24
587,Bruno Internacional,36, D(R),M(R),6(2),466,-,-,25.8,76.7,0.1,0.9,-,6.23
588,Régis Corinthians,28, AM(C),,1(5),86,-,0.2,7.3,86.4,0.2,-,-,6.23
589,Jadsom Silva Cruzeiro,20, DMC,,0(1),31,-,1,14.0,71.4,1,-,-,6.23
590,Willian Popp Ceara,27, AM(CR),,1,59,-,1,18.0,83.3,1,-,-,6.23
591,Frazan Fluminense,25, D(C),,5(6),562,-,-,22.9,85.7,-,0.8,-,6.23
592,Derlis González Santos FC,27, AM(LR),,9(7),809,-,0.4,14.4,78.4,-,0.3,-,6.23
593,Airton Fluminense,31, DMC,,8(3),468,-,0.5,33.8,92.7,-,0.3,0.1,6.22
