,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
214,6.78,Cássio Corinthians,34, GK,32,2860,-,-,-,-,-,0.3,-,-,0.1
215,6.78,Alexandre Pato Sao Paulo,32, M(CLR),18(2),1444,5,-,2.1,1,1.8,1.4,0.7,1.3,2.5
216,6.78,João Pedro Fluminense,20, FW,18(7),1696,4,1,2.3,0.8,1.8,1.3,0.4,1.9,2.7
217,6.78,Yago Pikachu Vasco da Gama,29, D(R),36,3189,5,2,1.4,1.1,0.4,1.8,0.1,0.8,0.9
218,6.78,Klaus Internacional,27, D(C),6(4),742,-,-,0.3,-,-,0.4,-,0.1,0.1
219,6.78,Allan Fluminense,24, DMC,28,2501,-,1,1.4,0.7,1.7,1.8,-,1,0.9
220,6.78,Ganso Fluminense,32, AM(C),27(2),2256,2,-,1.4,1.6,1.3,1.2,-,1,1
221,6.78,Fabinho Ceara,34, D(R),35,3123,1,-,0.5,0.5,0.7,1.1,0.1,0.6,1.1
222,6.77,Lourenço Avai FC,24, D(R),25(2),2117,1,3,1.3,1,1.3,1.3,0.2,1.4,2
223,6.77,Felipe Aguilar Santos FC,28, D(C),17,1437,-,-,0.1,0.1,0.2,0.6,-,0.2,0.5
224,6.77,Egídio Cruzeiro,35, D(L),24(1),2050,-,1,0.8,1,0.9,1,-,0.8,0.9
225,6.77,Tiepo Chapecoense AF,23, GK,26,2251,-,-,-,-,-,0.2,-,-,-
226,6.77,Lucas Romero Cruzeiro,27, D(R),8,698,-,-,0.5,0.6,1.6,1.8,0.1,1.1,0.9
227,6.77,Ricardinho Ceara,35, M(C),31(3),2664,1,6,1.6,1.6,0.4,0.2,-,0.4,0.7
228,6.77,Lucas Perri Sao Paulo,23, Goalkeeper,1,90,-,-,-,-,-,-,-,-,-
229,6.77,Oswaldo Henríquez Vasco da Gama,32, D(C),27,2430,1,1,0.4,0.2,0.1,0.3,0.1,0.1,0.3
230,6.77,Élber Bahia,29, AM(CLR),24(7),1868,3,2,0.9,1.2,1.6,2.3,0.1,0.9,1.1
231,6.77,Victor Ferraz Santos FC,33, D(LR),21(4),1949,-,2,0.4,0.7,0.4,0.6,0.1,0.4,0.5
232,6.77,Rafael Sóbis Internacional,36, AM(CLR),12(8),1064,2,3,2.4,1.5,0.7,0.5,-,1.1,1.1
233,6.77,Alex Santana Botafogo RJ,26, M(C),19(5),1685,5,1,1.6,0.5,1.5,1.6,-,1.2,1.3
234,6.76,Flávio Bahia,25, M(C),27(1),2334,-,1,0.5,0.9,0.8,1.0,-,0.5,0.7
235,6.76,Castán Vasco da Gama,35, D(C),22,1975,2,1,0.6,0.3,-,0.9,0.1,0.1,0.2
